;names;n;n_insee;ratio;
6534;george;73710;2209;33.36803983703033;
4681;donald;56763;1132;50.14399293286219;
18807;vladimir;41427;2626;15.775704493526275;
2760;bill;34763;131;265.36641221374043;
2456;barack;32165;34;946.0294117647059;
16209;saddam;29544;40;738.6;
18605;valéry;22808;559;40.80143112701252;
17140;silvio;15838;1468;10.788828337874659;
11430;mahmoud;15643;1286;12.16407465007776;
13407;mozart;15120;42;360.0;x
10766;lord;13187;25;527.48;x
7512;helmut;13101;384;34.1171875;
7666;hillary;12898;332;38.84939759036145;
6050;fidel;12123;181;66.97790055248619;
6577;gerhard;11648;174;66.94252873563218;
2362;bachar;10173;46;221.15217391304347;
266;abou;10095;780;12.942307692307692;
16766;sergueï;10031;40;250.775;
2636;benyamin;8857;99;89.46464646464646;
13014;mikhaïl;8691;50;173.82;
17247;slobodan;8554;110;77.76363636363637;
9954;klaus;8359;252;33.17063492063492;
18320;tito;8303;292;28.434931506849313;x
9969;kofi;8087;23;351.60869565217394;
11095;lula;8043;193;41.67357512953368;x
18850;wagner;7897;29;272.3103448275862;
1725;arafat;7641;99;77.18181818181819;
6815;gordon;7361;466;15.796137339055795;
14241;nixon;7253;57;127.24561403508773;
19025;wolfgang;7087;650;10.903076923076924;
14129;nick;7075;229;30.895196506550217;
15607;recep;6445;289;22.301038062283737;
6105;flaubert;6424;32;200.75;x
5465;ernst;6175;77;80.1948051948052;
15549;raul;6128;334;18.347305389221557;
7611;hermès;6110;71;86.05633802816901;x
9040;johnson;6059;204;29.70098039215686;x
1264;andreï;5711;59;96.79661016949153;
4440;dick;5646;31;182.1290322580645;
4643;dmitri;5522;36;153.38888888888889;
16122;rupert;5454;105;51.94285714285714;
15939;romano;5376;395;13.61012658227848;
19681;zola;5294;496;10.673387096774194;x
6717;giorgio;5287;466;11.34549356223176;
15356;racine;5272;81;65.08641975308642;x
11781;marcos;5237;472;11.095338983050848;
3740;claudel;5067;84;60.32142857142857;x
7774;howard;5039;197;25.578680203045685;
11;abbas;5012;239;20.97071129707113;
7737;hosni;5003;266;18.80827067669173;
3537;chen;4993;49;101.89795918367346;
10104;lady;4901;130;37.7;x
17005;shimon;4766;64;74.46875;
3204;carter;4757;44;108.11363636363636;
9100;josef;4748;332;14.301204819277109;
19028;woody;4742;143;33.16083916083916;
765;alexeï;4418;48;92.04166666666667;
217;abdul;4297;370;11.613513513513514;
8397;jair;4168;40;104.2;
2472;barry;4156;142;29.267605633802816;
13038;miles;4147;199;20.839195979899497;
15023;phil;4103;47;87.29787234042553;
18549;vaclav;3972;38;104.52631578947368;
2677;bernie;3965;46;86.19565217391305;
6844;graham;3924;121;32.429752066115704;
7247;hamlet;3867;29;133.3448275862069;x
12014;marie-george;3859;251;15.374501992031872;
8113;iouri;3840;61;62.950819672131146;
9674;keith;3828;263;14.55513307984791;
10205;lars;3719;129;28.829457364341085;
1799;aristote;3695;211;17.511848341232227;
9323;jürgen;3640;34;107.05882352941177;
402;adolf;3605;56;64.375;
11087;luiz;3521;258;13.647286821705427;
10436;leonid;3503;109;32.137614678899084;
6429;gandhi;3503;25;140.12;
4455;dieudonné;3485;39;89.35897435897436;x
2816;bobby;3471;178;19.5;
7341;harvey;3410;152;22.43421052631579;
15766;richelieu;3339;63;53.0;x
5633;evgueni;3295;26;126.73076923076923;
15775;rick;3232;207;15.61352657004831;
15965;ronaldo;3224;306;10.5359477124183;x
1212;anatoli;3194;20;159.7;
5417;erhard;3185;35;91.0;
7472;heinrich;3129;157;19.929936305732483;
6533;georg;3120;43;72.55813953488372;
14104;neymar;3057;75;40.76;
12946;michelet;3028;26;116.46153846153847;
15406;rafic;2972;40;74.3;
13568;nadal;2941;22;133.6818181818182;x
14519;olaf;2924;160;18.275;
6978;gustavo;2906;236;12.313559322033898;
6338;friedrich;2897;156;18.57051282051282;
6201;foucault;2896;134;21.611940298507463;
3632;christoph;2887;166;17.39156626506024;
14161;nigel;2886;122;23.65573770491803;
7135;hafez;2881;69;41.7536231884058;
14524;oleg;2867;213;13.460093896713616;
4508;dior;2839;173;16.410404624277458;x
15375;radovan;2828;31;91.2258064516129;
3784;clint;2820;95;29.68421052631579;
14647;orson;2793;112;24.9375;
14114;nguyen;2789;174;16.028735632183906;
4898;edmund;2781;92;30.22826086956522;
7782;hugh;2752;81;33.97530864197531;
3349;chadli;2699;74;36.472972972972975;
7404;haydn;2685;21;127.85714285714286;x
17613;stuart;2670;184;14.51086956521739;
6561;gerald;2660;25;106.4;
11321;madonna;2653;43;61.69767441860465;
6442;garcia;2647;38;69.65789473684211;
15208;pina;2638;134;19.686567164179106;
4215;darwin;2633;139;18.942446043165468;x
13071;milton;2630;105;25.047619047619047;
15212;piotr;2621;191;13.722513089005236;
7321;harlem;2596;81;32.04938271604938;
8854;jens;2592;89;29.123595505617978;
11767;marcelo;2552;235;10.859574468085107;
15883;rodin;2538;52;48.80769230769231;
19004;winston;2528;142;17.802816901408452;
6976;gustav;2522;110;22.927272727272726;
16125;russell;2499;120;20.825;
12413;massoud;2493;60;41.55;
12299;marshall;2489;69;36.072463768115945;
3327;cesare;2451;153;16.019607843137255;
1233;anders;2432;81;30.02469135802469;
