,Men,Total,masculinity,year
0,62.994408349167855,71,0.8872451880164487,1945
1,27.081252020293064,48,0.5641927504227722,1946
2,45.07759667419562,51,0.883874444592071,1947
3,30.792049116894965,37,0.8322175436998639,1948
4,39.349338674930735,43,0.9151008994169938,1949
5,189.085479484227,314,0.6021830556822516,1950
6,425.7216074708051,755,0.5638696787692783,1951
7,963.7484794245105,1837,0.524631725326353,1952
8,654.0938526310001,1050,0.6229465263152382,1953
9,264.28114929766525,393,0.672471117805764,1954
10,187.27789208779978,286,0.6548178045027965,1955
11,73.88508756783708,98,0.7539294649779293,1956
12,92.27468058169079,121,0.7626006659643867,1957
13,422.3062552303113,554,0.7622856592604897,1958
14,556.696548582542,662,0.840931342269701,1959
15,450.20275546043763,588,0.7656509446606082,1960
16,910.4219491894005,1124,0.8099839405599648,1961
17,1217.576438333712,1554,0.7835112215789652,1962
18,1453.575061265495,1896,0.766653513325683,1963
19,1412.0253948682362,1808,0.7809874971616351,1964
20,1612.904160106576,2167,0.7443027965420286,1965
21,2035.4789823880183,2520,0.8077297549158803,1966
22,2553.951605340451,3290,0.7762770836901066,1967
23,2399.8553892261407,3127,0.7674625485213113,1968
24,2364.653389195382,3052,0.7747881353851186,1969
25,3336.581854919432,4284,0.7788473050698954,1970
26,3618.259186727837,4584,0.7893235573141005,1971
27,2762.3646204207867,3654,0.7559837494309761,1972
28,3750.268289294119,4943,0.7587028705834754,1973
29,3878.27373269842,5049,0.7681271009503704,1974
30,4606.143722270793,5894,0.7814970685902262,1975
31,5401.798851773501,7051,0.7661039358634947,1976
32,5873.483568007035,7887,0.7447043955885678,1977
33,6286.551195990223,8493,0.7402038379830711,1978
34,5741.533613852433,7718,0.7439146947204499,1979
35,6825.1574783029255,9251,0.7377751030486354,1980
36,7722.634801839342,9908,0.7794342755187063,1981
37,8282.811085143221,11035,0.7505945704706136,1982
38,7860.7611439331495,10531,0.7464401428100987,1983
39,7761.5279830547015,10156,0.7642307978588717,1984
40,8510.177424423153,11199,0.7599051187090948,1985
41,10621.629372523694,13873,0.7656331992015926,1986
42,111.43730352452485,162,0.6878845896575608,1987
43,68.71375180285821,97,0.7083891938438991,1988
44,45.7978088014577,80,0.5724726100182213,1989
45,81.59360312016088,106,0.7697509728317063,1990
46,45.040820554311814,51,0.8831533442021925,1991
47,146.73512436454587,205,0.7157810944611993,1992
48,162.06977822014036,185,0.876052855244002,1993
49,727.8240220595858,884,0.823330341696364,1994
50,29421.883961111664,36159,0.8136807976191727,1995
51,36229.234774806675,44476,0.8145794310371138,1996
52,43521.32703223627,55476,0.7845073010353355,1997
53,39879.59033497736,50355,0.7919688280206009,1998
54,37293.89879561562,47374,0.7872229238741846,1999
55,53597.91188193654,68634,0.7809236221397053,2000
56,44613.83367433676,56090,0.7953972842634474,2001
57,43464.421348936536,54348,0.7997427936434925,2002
58,8824.154386033344,11652,0.7573081347436786,2003
59,9260.449572531288,12518,0.7397706960002627,2004
60,56224.51504512224,71851,0.7825154144705326,2005
61,57793.50905365783,75131,0.7692365209255544,2006
62,52336.548566430196,68235,0.7670044488375496,2007
63,46737.37775690371,61807,0.7561825967431474,2008
64,45815.05814278111,59692,0.7675242602489633,2009
65,48046.245676829625,63088,0.7615750329195667,2010
66,58839.794043176706,77391,0.7602924635057915,2011
67,73682.14975787562,96396,0.7643693696613514,2012
68,69328.15730772277,91229,0.7599355172995732,2013
69,57595.32855592799,76575,0.7521427170215865,2014
70,30209.712219555207,39096,0.772705960189155,2015
71,48022.310192911704,63743,0.7533738636856079,2016
72,82661.38072850833,111598,0.740706650016204,2017
73,77991.34687337201,106877,0.729729940711023,2018
74,76832.30887075303,107794,0.7127698097366554,2019
75,73728.81217575009,103987,0.7090195137445074,2020
76,78094.14170358682,112682,0.6930489492872581,2021
77,138977.80904620152,202220,0.6872604541895041,2022
